class,file,axis,RMS,P2P,CrestFactor,Kurtosis
servo_only,servo_only_trial06.csv,aabs,2.5547682433974104,14.686177606630654,5.761446102986431,10.837123445651844
servo_only,servo_only_trial07.csv,ax,1.9984874542370354,25.37409389570026,8.510657413188028,21.256363407446745
servo_only,servo_only_trial07.csv,ay,1.6010674704563166,21.459752545777896,9.37766820882971,26.741348024960775
servo_only,servo_only_trial07.csv,az,0.1807731152492208,2.03648850140927,8.405993333135624,19.39408397432518
servo_only,servo_only_trial07.csv,aabs,2.5671088930727355,22.51085251470258,8.782326892522201,26.259274524237547
servo_only,servo_only_trial08.csv,ax,1.9989217804830453,26.31227625915745,8.81797654994157,17.967107263359548
servo_only,servo_only_trial08.csv,ay,1.6097203376841815,12.545422502297676,5.527004721615064,8.056654152949497
servo_only,servo_only_trial08.csv,az,0.18049513071715445,1.8674772993137319,7.246983374913229,14.83795536826867
servo_only,servo_only_trial08.csv,aabs,2.5728323579775236,17.650838006117702,6.8681153687757925,9.031907408866442
servo_only,servo_only_trial09.csv,ax,2.408720033939591,21.92716614475854,6.631639523828206,9.024461033354166
servo_only,servo_only_trial09.csv,ay,1.8776331936429014,15.99816194270176,5.838697115178998,7.851963045477328
servo_only,servo_only_trial09.csv,az,0.18629948188732406,1.5748751971321955,5.539296054109332,8.357938050191333
servo_only,servo_only_trial09.csv,aabs,3.0597624268434744,19.140596855507937,6.265073509998577,10.472416847918513
servo_only,servo_only_trial10.csv,ax,1.9992846296364735,20.29325322077927,6.82285195699005,14.786935459938196
servo_only,servo_only_trial10.csv,ay,1.6054319492244105,17.368154550355275,7.206713919560015,15.088315568660747
servo_only,servo_only_trial10.csv,az,0.1830489238781263,2.1314674797117803,6.491965377495631,9.261290398920508
servo_only,servo_only_trial10.csv,aabs,2.570614261693901,17.308542353634916,6.742003405581137,13.179135126769474
servo_only,servo_only_trial11.csv,ax,2.0074219364582313,18.71596761401877,6.559104219755937,13.712754794263933
servo_only,servo_only_trial11.csv,ay,1.6001659656444096,17.098955006513396,7.545054596523394,21.974007989899718
servo_only,servo_only_trial11.csv,az,0.18250039811927124,1.972618505119014,8.197505812025168,21.30518007654566
servo_only,servo_only_trial11.csv,aabs,2.5736317420901758,16.41589561064693,6.398805755910966,13.931749169800423
servo_only,servo_only_trial12.csv,ax,1.999364384606842,21.0237063315393,7.297542254404292,12.534559414472106
servo_only,servo_only_trial12.csv,ay,1.6002494731752146,15.058165251636236,4.870200221407506,6.098009276724817
servo_only,servo_only_trial12.csv,az,0.18128776568890512,1.5374009251995044,5.749135806325646,8.683044443811555
servo_only,servo_only_trial12.csv,aabs,2.567317972675049,14.80596416620283,5.804569959474447,7.095975458514616
servo_only,servo_only_trial13.csv,ax,1.998730990261912,16.742436456930037,4.737324043263309,5.910437671196403
servo_only,servo_only_trial13.csv,ay,1.5963026282157071,10.880703468377648,4.541755486838163,6.178895023304804
servo_only,servo_only_trial13.csv,az,0.18105260123683586,1.9534457888577208,6.447561269931147,10.39357368981475
servo_only,servo_only_trial13.csv,aabs,2.5643493710289094,10.4757445568286,4.094991498534548,4.592988130397852
servo_only,servo_only_trial14.csv,ax,2.1376357624893045,22.108214164953544,6.726239125915436,6.759823370950857
servo_only,servo_only_trial14.csv,ay,1.607517479745315,13.201648826434033,5.6882191457023685,6.911497970031778
servo_only,servo_only_trial14.csv,az,0.18238311993274148,1.4412307446023558,5.152307483862426,6.037273129770913
servo_only,servo_only_trial14.csv,aabs,2.680832464589378,14.426783900226983,5.392708172049489,6.561256571961007
servo_only,servo_only_trial15.csv,ax,2.0242287116626043,21.564036209474526,7.162915351179186,9.032583813532387
servo_only,servo_only_trial15.csv,ay,1.6424486285852027,18.4117798665589,7.312896534278797,9.026772906332218
servo_only,servo_only_trial15.csv,az,0.1822498706484631,2.1664010924850867,6.016581615969087,7.49607537990229
servo_only,servo_only_trial15.csv,aabs,2.6131120125268343,14.599490314003749,5.596185448133504,6.740653818164194
piston_only,piston_only_trial01.csv,ax,0.4687338461727451,5.091873048192035,5.9341758439460826,6.693689153971743
piston_only,piston_only_trial01.csv,ay,0.5787553625639796,5.482268065202995,6.898300337568049,8.164348084230493
piston_only,piston_only_trial01.csv,az,4.966583470670594,48.02648535630224,5.098824801112547,5.065351052620439
piston_only,piston_only_trial01.csv,aabs,5.022113156768057,25.53636820084571,5.092833423366731,5.724007263563946
piston_only,piston_only_trial02.csv,ax,0.340835436577315,4.141967701895799,7.173630241571303,12.172569048680609
piston_only,piston_only_trial02.csv,ay,0.34434375015788393,4.156323193036167,6.701605387799436,11.16076833275337
piston_only,piston_only_trial02.csv,az,3.407950213305649,39.5311642953388,7.105723704333149,12.332546977509429
piston_only,piston_only_trial02.csv,aabs,3.4422181902763898,24.296188467253568,7.0614425574696895,12.873313384795082
piston_only,piston_only_trial03.csv,ax,0.4426030106559577,4.490478792117619,5.601875314788699,7.364851537784672
piston_only,piston_only_trial03.csv,ay,0.6451359961656832,5.718495636639089,5.197167243362262,4.143846425927752
piston_only,piston_only_trial03.csv,az,6.940779402300957,59.01564846061191,5.380461453384584,4.554735727716022
piston_only,piston_only_trial03.csv,aabs,6.984734539694092,37.52270247820494,5.3752013609045575,6.834049706608766
piston_only,piston_only_trial04.csv,ax,0.472814324751314,4.635524844544388,5.338353065933767,5.3972478392314684
piston_only,piston_only_trial04.csv,ay,0.56492058540993,5.376179853794034,5.008224148765357,4.38182396558943
piston_only,piston_only_trial04.csv,az,4.452959375165335,49.258839203808336,6.486202618543525,7.794339419940549
piston_only,piston_only_trial04.csv,aabs,4.513483782000638,29.027666981964448,6.433774144558798,8.771853984662979
piston_only,piston_only_trial05.csv,ax,0.5886254552621732,5.119196038294751,5.2132374610506105,4.092765238837441
piston_only,piston_only_trial05.csv,ay,0.7310489402361993,6.549432068782091,6.041918894862851,6.144781962351031
piston_only,piston_only_trial05.csv,az,6.355073729031273,63.69824245138568,5.179263016942744,4.575676639912299
piston_only,piston_only_trial05.csv,aabs,6.424007672864853,33.31671564304011,5.190084451779088,6.239807096997755
piston_only,piston_only_trial06.csv,ax,0.3573553782413073,3.7309537947578013,6.523120126125757,11.917020706304383
piston_only,piston_only_trial06.csv,ay,0.75959082055451,6.601765867057504,5.828842496661906,5.216752410180737
piston_only,piston_only_trial06.csv,az,3.561709133769135,36.73499263247548,5.895669197741069,9.1545754100022
piston_only,piston_only_trial06.csv,aabs,3.659296795096449,21.007304501301405,5.7499370785632955,9.88417494035257
piston_only,piston_only_trial07.csv,ax,0.5578272058854541,5.322544092813718,6.267010825202791,6.468514901536185
piston_only,piston_only_trial07.csv,ay,0.44441097119602974,4.283897152684972,5.513391333135172,5.0940646983423505
piston_only,piston_only_trial07.csv,az,9.329373212448319,77.75086118894791,6.1088040442341836,6.62442706355862
piston_only,piston_only_trial07.csv,aabs,9.356595365841875,57.0954403666195,6.104456262168383,9.570320739946796
piston_only,piston_only_trial08.csv,ax,0.7575777532676641,6.274659919856725,5.756886536171681,4.880266509222541
piston_only,piston_only_trial08.csv,ay,0.34272523468534516,3.115668951791223,5.078099657717569,7.731505768069152
piston_only,piston_only_trial08.csv,az,6.928187014430843,63.41715870872666,5.777781322881341,4.992668691117413
piston_only,piston_only_trial08.csv,aabs,6.977905125871543,40.22581815162483,5.770609546017236,8.312959415203794
piston_only,piston_only_trial09.csv,ax,0.4221369792424055,5.051430435826305,6.558369864794392,7.159548493247087
piston_only,piston_only_trial09.csv,ay,0.6583806566436949,6.139105126304974,5.75237477183348,5.671323702195959
piston_only,piston_only_trial09.csv,az,5.806499931470422,55.63713527186428,5.330136331993478,4.873475956242686
piston_only,piston_only_trial09.csv,aabs,5.858933876777626,31.203919713381037,5.327148317314497,5.662778255746135
piston_only,piston_only_trial10.csv,ax,0.38325857262245766,3.821138711443482,6.171142128459799,9.19122075601097
piston_only,piston_only_trial10.csv,ay,0.35364640727554675,3.9707694514454475,6.273284411086196,11.847213708983928
piston_only,piston_only_trial10.csv,az,7.7383206481904585,67.13308773872268,6.091074923290996,6.420780627746771
piston_only,piston_only_trial10.csv,aabs,7.755872573029956,47.145581273461175,6.082488571725732,9.872854484887961
piston_only,piston_only_trial11.csv,ax,0.40534825877930675,4.503889234169953,7.4071820647648,10.659383177925156
piston_only,piston_only_trial11.csv,ay,0.5397281632421831,5.591885516129421,5.917427808119575,5.92637384546887
piston_only,piston_only_trial11.csv,az,5.323773271379284,57.70301454627058,5.699153331240775,6.544802460497589
piston_only,piston_only_trial11.csv,aabs,5.366393159855573,30.435561682263064,5.678239931039096,7.830598866603829
piston_only,piston_only_trial12.csv,ax,0.6210511927693529,6.061108181445299,6.2433626504556,6.453527411541824
piston_only,piston_only_trial12.csv,ay,0.6160807984024597,6.053823723192308,5.772884679461112,5.238206644197909
piston_only,piston_only_trial12.csv,az,6.080082984377442,62.380189916492604,5.916414806222275,6.115095402884942
piston_only,piston_only_trial12.csv,aabs,6.142692343843745,36.34446831398135,5.918422613723888,7.943607614297555
piston_only,piston_only_trial13.csv,ax,0.4006754532708915,4.410440138026173,6.364196349440959,8.153242368788746
piston_only,piston_only_trial13.csv,ay,0.44600081441089756,4.203474474056036,4.7409793021749405,4.475776849362501
piston_only,piston_only_trial13.csv,az,3.4513002181559385,44.941691749721684,7.494092952785703,14.008796431708895
