class,file,axis,Fs_Hz,Nyquist_Hz,FFT_DominantFrequency_Hz,FFT_DominantAmplitude_m_s2,PSD_SpectralCentroid_Hz,PSD_SpectralBandwidth_Hz,PSD_SpectralRMS_m_s2,PSD_TotalSpectralPower,PSD_F95_Hz,CWT_DominantFrequency_Hz,CWT_DominantAmplitude,CWT_GlobalWaveletPower,CWT_MeanWaveletPower
piston_only,piston_only_trial01.csv,ax,402.0999999999971,201.04999999999856,0.19220841300191066,0.25114673704095797,13.741805188061168,10.684158694502603,0.3214705567234332,0.1033433188400741,23.560546874999833,18.846043993325242,1.5281687312211876,24.214232931864178,0.45651024421896724
piston_only,piston_only_trial01.csv,ay,402.0999999999971,201.04999999999856,0.19220841300191066,0.357966441590779,14.493401048527382,15.154400202846817,0.3949198457880399,0.15596168459724924,26.701953124999807,1.0,1.801851587703109,26.316833048940865,0.6007298151386231
piston_only,piston_only_trial01.csv,az,402.0999999999971,201.04999999999856,0.19220841300191066,2.8405722459455838,16.121197993293883,13.444903427237323,3.970992659088012,15.76878269853088,26.309277343749812,1.0,16.68083791465404,2472.40699196752,48.87561709913492
piston_only,piston_only_trial01.csv,aabs,402.0999999999971,201.04999999999856,1.3454588910133747,2.093069744035541,13.150390918919339,19.541186826849113,3.2597222061153595,10.625788861041586,40.44560546874971,1.3357523141837326,28.66792167598272,1732.4528510946539,93.41439869594912
piston_only,piston_only_trial02.csv,ax,402.09999999998814,201.04999999999407,18.801898148147593,0.11402542900583919,18.126743829970202,9.624713408441579,0.318293876619442,0.10131099189343254,25.916601562499235,18.082536594995346,1.495138443872749,23.193353418685543,0.29836940955646574
piston_only,piston_only_trial02.csv,ay,402.09999999998814,201.04999999999407,16.754166666666173,0.14877418957665373,16.83698961060031,7.40034932336313,0.30221187525750304,0.09133201754665658,23.953222656249295,16.64706429522666,1.561624535806476,23.423604007510004,0.3300802922989665
piston_only,piston_only_trial02.csv,az,402.09999999998814,201.04999999999407,18.057268518517986,1.206037836069801,16.51217311865817,7.414956033619178,3.359026993087217,11.28306234028855,23.953222656249295,16.64706429522666,15.173831816553905,2283.0731202810953,32.43900735327084
piston_only,piston_only_trial02.csv,aabs,402.09999999998814,201.04999999999407,1.3031018518518134,1.7899832514582372,11.359024870148437,14.49801288926047,3.036756045312621,9.22188727874275,36.911523437498914,1.2297143456559438,29.696986797409107,1701.020774055426,102.20652379457272
piston_only,piston_only_trial03.csv,ax,402.0999999999971,201.04999999999856,0.20588837685611733,0.24398086577783976,16.003589802572968,13.385686297558133,0.39329242135865367,0.15467892869815278,27.094628906249806,18.08253659499557,1.5051689351053223,24.131866080812788,0.41468090498322824
piston_only,piston_only_trial03.csv,ay,402.0999999999971,201.04999999999856,0.20588837685611733,0.4631661646179413,12.162801423767178,17.38521270372143,0.4460202459716143,0.19893405981657933,27.8799804687498,1.0,2.25276332809676,27.369978929026562,0.7061961176399614
piston_only,piston_only_trial03.csv,az,402.0999999999971,201.04999999999856,0.20588837685611733,5.109900891816733,12.099566398699727,17.1516146545796,4.935193926100286,24.356139088217155,27.8799804687498,1.0,25.056687646063242,2791.526090513385,82.02388758973748
piston_only,piston_only_trial03.csv,aabs,402.0999999999971,201.04999999999856,0.20588837685611733,3.8335174736958733,14.019987600102361,23.711064346090556,3.5002271604029818,12.25159017442272,47.906445312499656,1.2816371495063894,28.925627967514313,2014.1045231795704,113.58719948741076
piston_only,piston_only_trial04.csv,ax,402.0999999999971,201.04999999999856,0.22105552501374223,0.2867483002345677,17.29183482436929,19.654674761571744,0.3507801668504903,0.12304672545565781,37.30419921874973,18.08253659499557,1.5319333800622397,24.245543353518375,0.40717950625138033
